1,	     Ceres,		965 x 961 x 891,	939,300,	9.074 hrs,	4.60 yrs,	C,	2.768 AU,	0.0758,	10.59 deg
2,	     Pallas,	582 x 556 x 500,	205,000,	7.813 hrs,	4.61 yrs,	U,	2.772 AU,	0.2310,	34.84 deg
3,	 	 Juno,		234,				20,000,		7.210 hrs,	4.36 yrs,	S,	2.670 AU,	0.2563,	12.99 deg
4,	 	 Vesta,		569 x 555 x 453,	259,000,	5.342 hrs,	3.63 yrs,	U,	2.362 AU,	0.0889,	7.14 deg
21,	 	 Lutetia,	124 x 101 x 80,		1,700,		8.168 hrs,	3.80 yrs,	C,	2.435 AU,	0.1646,	3.06 deg
45,	 	 Eugenia,	215,				6,100,		5.699 hrs,	4.49 yrs,	FC,	2.721 AU,	0.0835,	6.60 deg
140,	 Siwa,		103,				1,500,		18.5 hrs,	4.51 yrs,	C,	2.732 AU,	0.2161,	3.19 deg
216,	 Kleopatra,	217 x 94,			,		 	5.385 hrs,	4.67 yrs,	M,	2.794 AU,	0.2504,	13.11 deg
243,	 Ida,		58 x 23,			100,		4.633 hrs,	4.84 yrs,	S,	2.861 AU,	0.0412,	1.13 deg
253,	 Mathilde,	66 x 48 x 46,		103.3,		417.7 hrs,	4.31 yrs,	C,	2.647 AU,	0.2655,	6.74 deg
433,	 Eros,		33 x 13 x 13,		6.69,		5.270 hrs,	1.76 yrs,	S,	1.458 AU,	0.2227,	10.83 deg
1566,	 Icarus,	1.4,				0.001,		2.273 hrs,	1.12 yrs,	U,	1.078 AU,	0.8269,	22.83 deg
1620,	 Geographos,2.0,				0.004,		5.222 hrs,	1.39 yrs,	S,	1.245 AU,	0.3354,	13.34 deg
1862,	 Apollo,	1.6,				0.002,		3.063 hrs,	1.81 yrs,	S,	1.470 AU,	0.5599,	6.35 deg
2060,	 Chiron,	180,				4,000,		5.9 hrs,	50.7 yrs,	B,	13.637 AU,	0.3827,	6.94 deg
2530,	 Shipka,	,					,			,		 	5.25 yrs,	, 	3.017 AU,	0.1280,	10.11 deg
2703,	 Rodari,	,					,			5.5 hrs,	3.25 yrs,	, 	2.194 AU,	0.0566,	6.03 deg
2867,	 Steins,	6.8 x 5.7 x 4.4,	,			6.049 hrs,	3.64 yrs,	E,	2.363 AU,	0.1455,	9.93 deg
3352,	 McAuliffe,	2 - 5,				,			,		 	2.57 yrs,	, 	1.879 AU,	0.3690,	4.77 deg
3840,	 Mimistrobell,,					,			,		 	3.38 yrs,	,	2.250 AU,	0.0827,	3.92 deg
4179,	 Toutatis,	4.6 x 2.4 x 1.9,	0.05,		130. hrs,	3.98 yrs,	S,	2.534 AU,	0.6294,	0.45 deg
4769,	 Castalia,	1.8 x 0.8,			0.0005,		4.095 hrs,	1.10 yrs,	, 	1.063 AU,	0.4831,	8.89 deg
4979,	 Otawara,	5.5,				0.2,		2.707 hrs,	3.19 yrs,	, 	2.168 AU,	0.1441,	0.91 deg
5535,	 AnneFrank,	4.8,				,		 	15.12 hrs,	3.29 yrs,	S,	2.213 AU,	0.0635,	4.25 deg
9969,	 Braille,	2.2 x 1.0,			,		 	226.4 hrs,	3.58 yrs,	B,	2.341 AU,	0.4333,	29.00 deg
25143,	 Itokawa,	0.5 x 0.3 x 0.2,	0.000035,	12.13 hrs,	1.52 yrs,	S,	1.324 AU,	0.2801,	1.62 deg
101955,	 Bennu,		0.49,				0.000073,	4.276 hrs,	1.20 yrs,	, 	1.126 AU,	0.2037,	6.03 deg